time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429809784	946439	-166.423	-87.0102	-169.548	0.744165	0.37451	-0.692251	-9.61361	0.0766406	-0.124541	
1429809784	996165	-166.504	-87.0202	-169.436	0.61943	0.0223304	0.0358183	-9.66151	0	-0.162861	
1429809785	46340	-166.692	-87.0246	-169.217	0.69295	0.173238	-0.0305478	-9.62319	0.0574805	-0.0910107	
1429809785	96244	-166.624	-87.0414	-169.251	0.674096	-0.11329	0.148092	-9.74773	0.100591	-0.148491	
1429809785	146405	-166.477	-87.0651	-169.368	0.618175	0.395633	0.109229	-9.62319	0.0814307	-0.148491	
1429809785	196178	-166.244	-87.0903	-169.571	0.688801	0.738052	-0.172731	-9.63756	0.138911	-0.162861	
1429809785	246244	-166	-87.1031	-169.781	0.786119	0.433514	0.141386	-9.74294	0.0479004	-0.148491	
1429809785	296160	-165.951	-87.112	-169.8	0.745473	0.211909	0.0725554	-9.64714	0.0431104	-0.234712	
1429809785	346405	-165.888	-87.1421	-169.828	0.715013	0.153797	0.0307561	-9.66151	0.0239502	-0.114961	
1429809785	396148	-166.038	-87.1501	-169.652	0.320031	0.583019	-0.647929	-9.62319	0.129331	-0.162861	
1429809785	446255	-166.188	-87.1762	-169.471	0.580601	0.414816	-0.289738	-9.64714	0.0431104	-0.148491	
1429809785	496231	-166.575	-87.2012	-169.053	0.57841	0.330213	-0.236097	-9.67109	0.0622705	-0.239502	
1429809785	546428	-166.633	-87.2253	-168.966	0.634572	0.0879814	-0.424994	-9.67109	0.0335303	-0.138911	
1429809785	596160	-166.763	-87.2481	-168.809	0.698452	0.176615	-0.0805736	-9.69025	0.0526904	-0.119751	
1429809785	646335	-166.839	-87.2564	-168.709	0.394963	1.09944	-0.354552	-9.67109	0.110171	-0.0814307	
1429809785	696188	-166.59	-87.2647	-168.932	0.397541	0.268137	-0.633417	-9.64235	0.0910107	-0.124541	
1429809785	746543	-166.355	-87.273	-169.144	0.47193	0.745394	0.047192	-9.65672	0.0766406	-0.124541	
1429809785	796204	-166.008	-87.278	-169.465	0.576666	0.37801	0.054959	-9.69025	0.0479004	-0.148491	
1429809785	846245	-165.713	-87.2773	-169.734	0.506921	0.310506	-0.170363	-9.65193	0.0287402	-0.249082	
1429809785	896200	-165.692	-87.2986	-169.729	0.507564	0.315774	-0.0539605	-9.67109	0.0814307	-0.148491	
1429809785	946400	-165.409	-87.3112	-169.986	0.637667	0.589522	0.21851	-9.68067	0.0431104	-0.167651	
1429809785	996187	-165.621	-87.3187	-169.751	0.553925	0.485523	-0.174846	-9.74294	0.0958008	-0.172441	
1429809786	46244	-165.978	-87.3193	-169.369	0.625163	0.16561	-0.428955	-9.62319	0.100591	-0.0958008	
1429809786	96203	-166.176	-87.3247	-169.145	0.563166	0.0308793	-0.413045	-9.64235	0.0670606	-0.0718506	
1429809786	146343	-166.227	-87.321	-169.073	0.574348	-0.273269	-0.022339	-9.72857	0.0670606	-0.138911	
1429809786	196185	-166.247	-87.3272	-169.032	0.408527	0.241655	-0.191719	-9.59924	0.105381	-0.0958008	
1429809786	246321	-165.828	-87.321	-169.431	0.459955	-0.273568	0.63199	-9.65193	0.0910107	-0.0910107	
1429809786	296270	-165.291	-87.3231	-169.943	0.466578	0.402219	0.587432	-9.61361	0.0479004	-0.0910107	
1429809786	346367	-164.755	-87.3339	-170.457	0.458117	0.0954139	0.447409	-9.69504	0.134121	-0.114961	
1429809786	396108	-164.612	-87.3428	-170.58	0.374285	-0.0808656	0.668739	-9.69983	0.114961	-0.186812	
1429809786	446244	-164.383	-87.351	-170.789	0.535536	-0.288465	-0.526406	-9.58008	0.0431104	-0.177231	
1429809786	496124	-164.229	-87.3548	-170.917	0.521274	0.15039	0.465271	-9.63277	0.0574805	-0.138911	
1429809786	546313	-164.346	-87.3592	-170.777	0.381349	0.371477	-0.364366	-9.62319	0.0335303	-0.158071	
1429809786	596149	-164.575	-87.3671	-170.525	0.515455	0.88532	-0.523413	-9.68546	0.138911	-0.129331	
1429809786	646227	-164.562	-87.3762	-170.517	0.509231	0.264173	0.0890227	-9.6663	0.0287402	-0.182021	
1429809786	696158	-164.698	-87.3993	-170.363	0.350019	0.632155	-0.360271	-9.65193	0.0958008	-0.134121	
1429809786	746448	-164.637	-87.4033	-170.402	0.350152	0.104499	-0.0271874	-9.67109	0.0814307	-0.143701	
1429809786	796353	-164.479	-87.4064	-170.54	0.299808	0.583486	-0.416818	-9.6184	0.0431104	-0.0718506	
1429809786	846323	-164.328	-87.4087	-170.673	0.487835	0.113395	0.167154	-9.67109	0.0383203	-0.191602	
1429809786	896204	-164.208	-87.4184	-170.774	0.389402	-0.215828	0.737716	-9.68546	0.0622705	-0.182021	
1429809786	946385	-163.674	-87.4352	-171.285	0.455537	0.244985	0.261131	-9.68067	0.0766406	-0.148491	
1429809786	996227	-163.534	-87.4583	-171.407	0.384034	0.572151	-0.500596	-9.64714	0.0862207	-0.177231	
1429809787	46275	-163.502	-87.4898	-171.422	0.455831	0.642295	0.32171	-9.65672	0.0622705	-0.0910107	
1429809787	96248	-163.573	-87.5085	-171.334	0.30915	0.584654	-0.111219	-9.61361	0.0814307	-0.205972	
1429809787	146404	-163.807	-87.5302	-171.08	0.641773	0.11996	-0.0542855	-9.66151	0.0574805	-0.119751	
1429809787	196400	-164.067	-87.5308	-170.804	0.40845	0.0831883	-0.85229	-9.63277	0.0239502	-0.143701	
1429809787	246281	-164.108	-87.5463	-170.75	0.346562	0.261418	0.00571423	-9.63756	0.0431104	-0.105381	
1429809787	296107	-164.219	-87.5478	-170.619	0.35933	0.28918	-0.572989	-9.67588	0.0287402	-0.215552	
1429809787	346359	-164.261	-87.5755	-170.564	0.32496	0.675944	-0.13547	-9.64714	0.0143701	-0.0862207	
1429809787	396116	-163.958	-87.5956	-170.852	0.320469	0.327187	0.242779	-9.7142	0.0431104	-0.114961	
1429809787	446230	-163.507	-87.6094	-171.287	0.518083	0.537614	-0.0146883	-9.62319	0.100591	-0.148491	
1429809787	496145	-163.461	-87.6205	-171.316	0.17797	0.487129	-0.139203	-9.68067	0.0814307	-0.220342	
1429809787	546322	-163.355	-87.6405	-171.407	0.391547	0.409613	0.30553	-9.70462	0.0670606	-0.105381	
1429809787	596156	-163.494	-87.6582	-171.253	0.196419	0.383904	-0.543256	-9.66151	0.0958008	-0.129331	
1429809787	646343	-163.574	-87.6733	-171.161	0.258709	0.668189	0.103462	-9.63277	0.0814307	-0.162861	
